"Name","Price level","Price","Price (String)"
"Abo 3","PS 7",149.7,"149,70 €"
"Abo 3","PS 7+T",160.3,"160,30 €"
"Abo 3","PS 8",171.1,"171,10 €"
"Abo 3","PS 8+T",180,"180,00 €"
"Abo 3","PS 9",190.5,"190,50 €"
"Abo 3","PS 9+T",199.7,"199,70 €"
"Abo 3","PS 10",211,"211,00 €"
"Abo 3","PS 10+T",226.6,"226,60 €"
"Abo 3","PS A",61.6,"61,60 €"
"Abo 3","PS B",50.7,"50,70 €"
"Abo 3","PS C",41.5,"41,50 €"
"Abo 3","PS D",34.5,"34,50 €"
"Abo 3","PS F",23.9,"23,90 €"
"Abo 6","PS 1",37.7,"37,70 €"
"Abo 6","PS 2",62.1,"62,10 €"
"Abo 6","PS 2+T",74.3,"74,30 €"
"Abo 6","PS 3",82.8,"82,80 €"
"Abo 6","PS 3+T",97.7,"97,70 €"
"Abo 6","PS 4",106.7,"106,70 €"
"Abo 6","PS 4+T",114.8,"114,80 €"
"Abo 6","PS 5",124.8,"124,80 €"
"Abo 6","PS 5+T",133.5,"133,50 €"
"Abo 6","PS 6",140.1,"140,10 €"
"Abo 6","PS 6+T",153,"153,00 €"
"Abo 6","PS 7",163.7,"163,70 €"
"Abo 6","PS 7+T",175.5,"175,50 €"
"Abo 6","PS 8",187.2,"187,20 €"
"Abo 6","PS 8+T",197.1,"197,10 €"
"Abo 6","PS 9",208.6,"208,60 €"
"Abo 6","PS 9+T",218.7,"218,70 €"
"Abo 6","PS 10",231.1,"231,10 €"
"Abo 6","PS 10+T",247.8,"247,80 €"
"Abo 6","PS A",67.5,"67,50 €"
"Abo 6","PS B",56.9,"56,90 €"
"Abo 6","PS C",45.7,"45,70 €"
"Abo 6","PS D",37.7,"37,70 €"
"Abo 6","PS F",26.2,"26,20 €"
"9-Uhr-JahresAbo","PS A",37.9,"37,90 €"
"9-Uhr-JahresAbo","PS B",26,"26,00 €"
"Wochenwertmarke Ausbildung","PS 1",11.2,"11,20 €"
"Wochenwertmarke Ausbildung","PS 2",18.1,"18,10 €"
"Wochenwertmarke Ausbildung","PS 2+T",21.6,"21,60 €"
"Wochenwertmarke Ausbildung","PS 3",24,"24,00 €"
"Wochenwertmarke Ausbildung","PS 3+T",28.5,"28,50 €"
"Wochenwertmarke Ausbildung","PS 4",31.1,"31,10 €"
"Wochenwertmarke Ausbildung","PS 4+T",33.5,"33,50 €"
"Wochenwertmarke Ausbildung","PS 5",36.4,"36,40 €"
"Wochenwertmarke Ausbildung","PS 5+T",38.9,"38,90 €"
